["neural networks", 754.4627860270758]
["popular minibatch stochastic gradient technique", 3.8501476017100584]
["powerful hyperparameter optimization algorithms", 3.8501476017100584]
["procedure startasynchronouslyfetchingparameters", 3.8501476017100584]
["recurrent cascadecorrelation learning algorithm", 3.8501476017100584]
["sandblaster lbfgs enjoy significant speed gains", 3.8501476017100584]
["selfreferential optimal universal selfimprovers", 3.8501476017100584]
["simple statistical gradientfollowing algorithms", 3.8501476017100584]
["single sentence positivenegative classification", 3.8501476017100584]
["standard feedforward multilayer neural networks", 3.8501476017100584]
["successful partbased object localisation method", 3.8501476017100584]
["thenstateoftheart speech recognition technology", 3.8501476017100584]
["traditional handcrafted feature representations", 3.8501476017100584]
["transition layer generate θm output featuremaps", 3.8501476017100584]
["unsupervised representation learning procedures", 3.8501476017100584]
["3dimensional brainlike multiprocessor hardware", 3.828641396489095]
["competitive object recognition benchmark tasks", 3.828641396489095]
["crossdomain handwritten digit recognition task", 3.828641396489095]
["deep convolutional neural network architecture", 3.828641396489095]
["deep generative correlation alignment networks", 3.828641396489095]
["discriminative piecewise linear transformation", 3.828641396489095]
["firstorder stochastic gradient descent methods", 3.828641396489095]
["harvard university bergstra  rowlandharvardedu", 3.828641396489095]
["hierarchical invariant spatiotemporal features", 3.828641396489095]
["hierarchical spatiotemporal feature extraction", 3.828641396489095]
["hyperparameter optimization algorithm optimize", 3.828641396489095]
["longshort term memory neural networks language", 3.828641396489095]
["partially observable markov decision processes", 3.828641396489095]
["psychophysicsdriven pattern recognition models", 3.828641396489095]
["royale des sciences presentes par divers savan", 3.828641396489095]
["sophisticated offtheshelf optimization methods", 3.828641396489095]
["substantial speech recognition error reduction", 3.828641396489095]
["traditional convolutional feedforward networks", 3.828641396489095]
["traditional multivariate gaussian distribution", 3.828641396489095]
["automatic sequential optimization outperforms", 3.8066624897703196]
["categoryindependent bottomup object proposals", 3.8066624897703196]
["crossdomain weaklysupervised object detection", 3.8066624897703196]
["deep generative correlation alignment network", 3.8066624897703196]
["deep maxpooling convolutional neural networks", 3.8066624897703196]
["deep parametrized neural network architecture", 3.8066624897703196]
["direct nn search  policy gradients  evolution", 3.8066624897703196]
["factorial code maximises information transfer", 3.8066624897703196]
["featuredomain maxlikelihood linear regression", 3.8066624897703196]
["featurerepresentationlevel knowledge transfer", 3.8066624897703196]
["highdimensional videolike visual input stream", 3.8066624897703196]
["improving deep neural network acoustic models", 3.8066624897703196]
["learning representationsarxiv13050445v2  cslg", 3.8066624897703196]
["minimum phone error acoustic model estimation", 3.8066624897703196]
["multiple binary attributespecific classifiers", 3.8066624897703196]
["orthogonal nonnegative matrix tfactorizations", 3.8066624897703196]
["person pottedplant sheep sofa train tvmonitor", 3.8066624897703196]
["probabilistic templatebased chord recognition", 3.8066624897703196]
["procedure startasynchronouslypushinggradients", 3.8066624897703196]
["score matching parameter estimation technique", 3.8066624897703196]
["selective search yields good object locations", 3.8066624897703196]
["selfsupervised visual representation learning", 3.8066624897703196]
["sequential modelbased optimization strategies", 3.8066624897703196]
["springer international publishing switzerland", 3.8066624897703196]
["stable deterministic numerical feature values", 3.8066624897703196]
["successful unconstrained optimization methods", 3.8066624897703196]
["supervisedlearning deep architecture category", 3.8066624897703196]
["traditional approachespascal object detection", 3.8066624897703196]
["traditional stochastic gradient decent method", 3.8066624897703196]
["typical stochastic feedforward neural network", 3.8066624897703196]
["unlabeled videos achieves similar performance", 3.8066624897703196]
["wwwimagenetorgchallengeslsvrc2012 resultshtml", 3.8066624897703196]
["recognition challenge", 3.8056530471542787]
["classinvariant feature transformation matrix", 3.784189633918261]
["decision treeclustered contextdependent hmms", 3.784189633918261]
["detailed triphone state output probabilities", 3.784189633918261]
["easilyobtained surrogate supervisory signals", 3.784189633918261]
["improved large vocabulary speech recognition", 3.784189633918261]
["kldivergence regularized deep neural network", 3.784189633918261]
["layerbylayer sequential network construction", 3.784189633918261]
["maximum posterior probability classification", 3.784189633918261]
["multidimensional deep memory atarigo players", 3.784189633918261]
["singlechannel multitalker speech recognition", 3.784189633918261]
["stateoftheart semantic segmentation approach", 3.784189633918261]
["symmetricallycoupled binary random variables", 3.784189633918261]
["bayesian probabilistic matrix factorization", 3.7612001156935624]
["cambridge university engineering department", 3.7612001156935624]
["categorical generative adversarial networks", 3.7612001156935624]
["commercial pattern recognition applications", 3.7612001156935624]
["compositional high order pattern potentials", 3.7612001156935624]
["constrained optimization problem ofminimize", 3.7612001156935624]
["difficult hyperparameter optimization tasks", 3.7612001156935624]
["direct gradientbased reinforcement learning", 3.7612001156935624]
["emergent collective computational abilities", 3.7612001156935624]
["gpulike highperformance computing platforms", 3.7612001156935624]
["greater speech recognition performance gain", 3.7612001156935624]
["intersection kernel support vector machines", 3.7612001156935624]
["languageuniversal speech recognition system", 3.7612001156935624]
["large scale semisupervised object detection", 3.7612001156935624]
["largescale fpgabased convolutional networks", 3.7612001156935624]
["maxmargin structure prediction architecture", 3.7612001156935624]
["metropolishastings montecarlo markov chains", 3.7612001156935624]
["nearest neighbour groupbased classification", 3.7612001156935624]
["neuralnetworkbased deep learning approaches", 3.7612001156935624]
["nextgeneration automatic speech recognition", 3.7612001156935624]
["nonlinear representationlearning algorithms", 3.7612001156935624]
["numerische optimierung von computermodellen", 3.7612001156935624]
["parametrized feature extraction function fθ", 3.7612001156935624]
["personspecific facial action unit detection", 3.7612001156935624]
["present hyperparameter optimization results", 3.7612001156935624]
["probabilistic incremental program evolution", 3.7612001156935624]
["probabilistic principal components analysis", 3.7612001156935624]
["reinforcementlearning connectionist systems", 3.7612001156935624]
["rnnbased automatic chord recognition system", 3.7612001156935624]
["ruslan salakhutdinov rsalakhu  cstorontoedu", 3.7612001156935624]
["sophisticated feature extraction techniques", 3.7612001156935624]
["technical report technical report nuccs8927", 3.7612001156935624]
["traditional neural network training methods", 3.7612001156935624]
["underlying transformationinvariant property", 3.7612001156935624]
["unsupervised visual representation learning", 3.7612001156935624]
["accelerated parallelizable neural networks", 3.7376696182833684]
["additional problemdependent hyperparameter", 3.7376696182833684]
["averagepayoff markovian decision processes", 3.7376696182833684]
["conditional random field phone recognition", 3.7376696182833684]
["ctclstm performs simultaneous segmentation", 3.7376696182833684]
["deep reconstructionclassification networks", 3.7376696182833684]
["deep recurrent auto encoder neural network", 3.7376696182833684]
["dropout restricted boltzmann machine model", 3.7376696182833684]
["efficient classincremental learning models", 3.7376696182833684]
["efficient deep neural network architecture", 3.7376696182833684]
["efficient recursive chain rule application", 3.7376696182833684]
["face expression classification experiments", 3.7376696182833684]
["famous timit phoneme recognition benchmark", 3.7376696182833684]
["generative equivalent  feature composition", 3.7376696182833684]
["generic sequential modelbased optimization", 3.7376696182833684]
["hierarchical temporal memory including htm", 3.7376696182833684]
["high dimensional overlapping distributions", 3.7376696182833684]
["high performance robust speech recognition", 3.7376696182833684]
["l parallelized stochastic gradient descent", 3.7376696182833684]
["large scale neural network language models", 3.7376696182833684]
["layerwise unsupervised pretraining brought", 3.7376696182833684]
["learning continuous phrase representations", 3.7376696182833684]
["m hierarchical convolutional deep learning", 3.7376696182833684]
["multidimensional recurrent neural networks", 3.7376696182833684]
["multiple modelbased reinforcement learning", 3.7376696182833684]
["multisource unsupervised domain adaptation", 3.7376696182833684]
["powerful representationlearning algorithms", 3.7376696182833684]
["semisupervised label propagation algorithm", 3.7376696182833684]
["speakerindependent phonetic classification", 3.7376696182833684]
["structureadaptable digital neural networks", 3.7376696182833684]
["tdistributed stochastic neighbor embedding", 3.7376696182833684]
["topographic independent component analysis", 3.7376696182833684]
["unnormalized nonnegative clique potentials", 3.7376696182833684]
["variable resolution reinforcement learning", 3.7376696182833684]
["archetypal low dimensional representation", 3.713572066704308]
["autoencoder reconstruction error gradient", 3.713572066704308]
["collective matrix factorization technique", 3.713572066704308]
["compare perturbation tolerance conditions", 3.713572066704308]
["competitive semantic segmentation results", 3.713572066704308]
["covers sequential modelbased optimization", 3.713572066704308]
["deep recurrent convolutional architecture", 3.713572066704308]
["discriminative feedforward neural network", 3.713572066704308]
["earlier dnn phone recognition experiments", 3.713572066704308]
["efficient largescale distributed training", 3.713572066704308]
["exemplarsupported generative reproduction", 3.713572066704308]
["fast maximum likelihood nonlinear feature", 3.713572066704308]
["free lowdimensional embedding coordinates", 3.713572066704308]
["generative versus discriminative training", 3.713572066704308]
["german traffic sign recognition benchmark", 3.713572066704308]
["heterogeneousdomain knowledge propagation", 3.713572066704308]
["high accuracy pattern recognition systems", 3.713572066704308]
["historical speech recognition error rates", 3.713572066704308]
["infinitehorizon policygradient estimation", 3.713572066704308]
["knowledgebased artificial neural networks", 3.713572066704308]
["latent structured support vector machines", 3.713572066704308]
["markovian generative adversarial networks", 3.713572066704308]
["minimum classification error rate methods", 3.713572066704308]
["noise robust automatic speech recognition", 3.713572066704308]
["personalized facial action unit detection", 3.713572066704308]
["place map external data ensemble approach", 3.713572066704308]
["powerful semisupervised learning strategy", 3.713572066704308]
["regionbased convolutional neural networks", 3.713572066704308]
["regressionbased contextdependent modeling", 3.713572066704308]
["sherbrooke hugolarochelle  usherbrookeedu", 3.713572066704308]
["silhouette analysisbased gait recognition", 3.713572066704308]
["sophisticated signal processing technique", 3.713572066704308]
["theoretical risk minimization perspective", 3.713572066704308]
["training continuous space language models", 3.713572066704308]
["twodimensional sparse matrix partitioning", 3.713572066704308]
["undergone massive open online peer review", 3.713572066704308]
["versatile sentiment classification system", 3.713572066704308]
["additional regularitiescompressibilities", 3.6888794541139363]
["analysing deep recurrent neural networks", 3.6888794541139363]
["association considers global consistency", 3.6888794541139363]
["braindead memorybased learning mechanism", 3.6888794541139363]
["cascadecorrelation learning architecture", 3.6888794541139363]
["categoryspecific coarse mask predictions", 3.6888794541139363]
["championship competition software manual", 3.6888794541139363]
["clickthroughbased latent semantic models", 3.6888794541139363]
["current approximate inference mechanisms", 3.6888794541139363]
["efficient global optimization algorithms", 3.6888794541139363]
["efficient largescale sequence comparison", 3.6888794541139363]
["efficient semisupervised learning method", 3.6888794541139363]
["exponential natural evolution strategies", 3.6888794541139363]
["factorized thirdorder boltzmann machines", 3.6888794541139363]
["feature enhancement uncertainty computed", 3.6888794541139363]
["featurespaceswitched multiple regression", 3.6888794541139363]
["free lowdimensional embedding coordinate", 3.6888794541139363]
["generic conditional prediction mechanism", 3.6888794541139363]
["high bandwidth parameter synchronization", 3.6888794541139363]
["highaccuracy pattern recognition systems", 3.6888794541139363]
["highquality facial photosketch synthesis", 3.6888794541139363]
["informationdestroying corruption process", 3.6888794541139363]
["linearly weighted connectionist networks", 3.6888794541139363]
["local online step size adaptation method", 3.6888794541139363]
["multiclass transfer incremental learning", 3.6888794541139363]
["multilayer convolutional neural networks", 3.6888794541139363]
["multilayered neural network neocognitron", 3.6888794541139363]
["multitask selfsupervised visual learning", 3.6888794541139363]
["neural networkhidden markov model hybrid", 3.6888794541139363]
["nonconvex online support vector machines", 3.6888794541139363]
["nongaussian independent latent variables", 3.6888794541139363]
["nonlinear realvalued activation function", 3.6888794541139363]
["nonprobabilistic autoencoder neural nets", 3.6888794541139363]
["onedimensional conditional distributions", 3.6888794541139363]
["predicting speech recognition confidence", 3.6888794541139363]
["probabilistic graphical model literature", 3.6888794541139363]
["problemindependent maximal problem depth", 3.6888794541139363]
["ranking holistic figureground hypotheses", 3.6888794541139363]
["sandblaster batch optimization framework", 3.6888794541139363]
["selforganizing hierarchical feature maps", 3.6888794541139363]
["spiketimingdependent synaptic plasticity", 3.6888794541139363]
["stochastic gradient descent bp algorithm", 3.6888794541139363]
["supervised classification neural network", 3.6888794541139363]
["text improves zeroshot image predictions", 3.6888794541139363]
["threedimensional object recognition task", 3.6888794541139363]
["trained parametrized computational graph", 3.6888794541139363]
["trec video retrieval evaluation workshop", 3.6888794541139363]
["treestructured parzen estimator approach", 3.6888794541139363]
["type patch size stride output size depth", 3.6888794541139363]
["typical binary adversarial discriminator", 3.6888794541139363]
["versatile semisupervised training method", 3.6888794541139363]
["adaptive multimodal gesture recognition", 3.6635616461296463]
["adversarial objective generative models", 3.6635616461296463]
["algorithm discovers explanatory factors", 3.6635616461296463]
["approximate stochastic gradient descent", 3.6635616461296463]
["asynchronous lockfree sharing mechanism", 3.6635616461296463]
["bayesian probabilistic generative model", 3.6635616461296463]
["complex polynomial activation functions", 3.6635616461296463]
["computer vision classification data set", 3.6635616461296463]
["configurable waferscale hardware system", 3.6635616461296463]
["consensusbased distributed optimization", 3.6635616461296463]
["continuousvalued output representations", 3.6635616461296463]
["contrastive divergence update direction", 3.6635616461296463]
["deep learning alon optimization methods", 3.6635616461296463]
["deep model containingmassive parameters", 3.6635616461296463]
["deep semisupervised learning algorithms", 3.6635616461296463]
["discriminative input stream combination", 3.6635616461296463]
["discriminative internal representations", 3.6635616461296463]
["domaininvariant representation learning", 3.6635616461296463]
["efficient overcomplete feature learning", 3.6635616461296463]
["engineering deep learning architectures", 3.6635616461296463]
["evolutionary artificial neural networks", 3.6635616461296463]
["finite combinatory processesformulation", 3.6635616461296463]
["fullsequence maximum mutual information", 3.6635616461296463]
["gaussian process upper confidence bound", 3.6635616461296463]
["general exponentialfamily distributions", 3.6635616461296463]
["heterogeneous transfer learning problem", 3.6635616461296463]
["hierarchical policy gradient algorithms", 3.6635616461296463]
["highaccuracy pattern recognition system", 3.6635616461296463]
["higherlevel disentangled representation", 3.6635616461296463]
["higherorder hidden feature interactions", 3.6635616461296463]
["human information processing mechanisms", 3.6635616461296463]
["impressive object detection performance", 3.6635616461296463]
["improved protein contact map prediction", 3.6635616461296463]
["industryscale speech feature extraction", 3.6635616461296463]
["infinitedimensional covariance matrices", 3.6635616461296463]
["initializationasregularization strategy", 3.6635616461296463]
["intermediate anonymous latent variables", 3.6635616461296463]
["intermediate domain complexity cplx_tar", 3.6635616461296463]
["language processing technical committee", 3.6635616461296463]
["latent hierarchical structural learning", 3.6635616461296463]
["learned approximate inference procedure", 3.6635616461296463]
["logistic regression classification task", 3.6635616461296463]
["maxpooling convolutional neural network", 3.6635616461296463]
["mdlbased stochastic variational methods", 3.6635616461296463]
["modeldomain noise robustness techniques", 3.6635616461296463]
["modern pattern recognition technologies", 3.6635616461296463]
["multiple candidate intermediate domains", 3.6635616461296463]
["nonlinear parameter estimation problems", 3.6635616461296463]
["operation rejects uncertain predictions", 3.6635616461296463]
["optimizationoriented speech recognition", 3.6635616461296463]
["orthogonal source separation algorithms", 3.6635616461296463]
["perturbationresistant lowcomplexity nns", 3.6635616461296463]
["popular hierarchical feature extraction", 3.6635616461296463]
["positive definite covariance function k", 3.6635616461296463]
["probabilistic graphical model formalism", 3.6635616461296463]
["rbm conditional independence properties", 3.6635616461296463]
["reconstruction probability distribution", 3.6635616461296463]
["rmaxa general polynomial time algorithm", 3.6635616461296463]
["sequential optimization algorithms work", 3.6635616461296463]
["shallow linear pattern separation model", 3.6635616461296463]
["single small imageagnostic perturbation", 3.6635616461296463]
["soft subspace orthogonality constraints", 3.6635616461296463]
["specialized neural network architecture", 3.6635616461296463]
["stacked generative adversarial networks", 3.6635616461296463]
["structural pattern recognition problems", 3.6635616461296463]
["successful computer vision applications", 3.6635616461296463]
["sufficient unlabeled target domain data", 3.6635616461296463]
["tandem connectionist feature extraction", 3.6635616461296463]
["trained dense surface normal estimation", 3.6635616461296463]
["transitive knowledge transfer structure", 3.6635616461296463]
["treestructured conditional dependencies", 3.6635616461296463]
["triplanar convolutional neural networks", 3.6635616461296463]
["typical semantic segmentation algorithm", 3.6635616461296463]
["unsupervised singlelayer representation", 3.6635616461296463]
["3dimensional medical image recognition", 3.6375861597263857]
["48hr bing mobile voice search datasets", 3.6375861597263857]
["acousticarticulatory inversion mapping", 3.6375861597263857]
["adaptive neural information processing", 3.6375861597263857]
["additional domain classification layer", 3.6375861597263857]
["approximate posterior distribution qθf", 3.6375861597263857]
["approximate stochastic gradient ascent", 3.6375861597263857]
["archetypal manifold modeling algorithm", 3.6375861597263857]
["attentionbased encoderdecoder networks", 3.6375861597263857]
["automatic sequential program synthesis", 3.6375861597263857]
["bidirectional recurrent neural network", 3.6375861597263857]
["biologically motivated computer vision", 3.6375861597263857]
["christophmgithubio interpretablemlbook", 3.6375861597263857]
["close academicindustrial collaboration", 3.6375861597263857]
["complementary conditional distribution", 3.6375861597263857]
["conditional probability distribution p", 3.6375861597263857]
["constrained nonlinear statespace model", 3.6375861597263857]
["continuousvalued vector representation", 3.6375861597263857]
["crossvalidated classification accuracy", 3.6375861597263857]
["deep contentbased music recommendation", 3.6375861597263857]
["deterministic feature representation f", 3.6375861597263857]
["discretetime recurrent neural networks", 3.6375861597263857]
["dnn parameter initialization technique", 3.6375861597263857]
["domaininvariant feature representation", 3.6375861597263857]
["efficient natural evolution strategies", 3.6375861597263857]
["engineering speech recognition systems", 3.6375861597263857]
["exemplar convolutional neural networks", 3.6375861597263857]
["fast stochastic errordescent algorithm", 3.6375861597263857]
["freeenergybased reinforcement learning", 3.6375861597263857]
["function v encode topology information", 3.6375861597263857]
["gaussian process bayesian optimization", 3.6375861597263857]
["general bayesian optimization approach", 3.6375861597263857]
["generalized dynamic feature parameters", 3.6375861597263857]
["gmmhmmbased speech recognition systems", 3.6375861597263857]
["grammar induction discover hierarchies", 3.6375861597263857]
["highdimensional latent variable models", 3.6375861597263857]
["image analysis  raspoznavaniye obrazov", 3.6375861597263857]
["individual conditional hyperparameters", 3.6375861597263857]
["initial unsupervised pretraining phase", 3.6375861597263857]
["largescale hierarchical image database", 3.6375861597263857]
["learning invariant feature hierarchies", 3.6375861597263857]
["learning restricted boltzmann machines", 3.6375861597263857]
["linear time natural evolution strategy", 3.6375861597263857]
["machinelearningbased prediction system", 3.6375861597263857]
["minimum regularized euclidean distance", 3.6375861597263857]
["multisource transfer learning performs", 3.6375861597263857]
["multitask convolutional neural network", 3.6375861597263857]
["nitish srivastava nitish  cstorontoedu", 3.6375861597263857]
["nonlinear principal component analysis", 3.6375861597263857]
["open source convolutional architecture", 3.6375861597263857]
["ordinary unsupervised feature learning", 3.6375861597263857]
["original unsupervised deep autoencoder", 3.6375861597263857]
["phrasebased machine translation system", 3.6375861597263857]
["protein secondary structure prediction", 3.6375861597263857]
["psaccruedgradients  psaccruedgradients", 3.6375861597263857]
["realworld computer vision applications", 3.6375861597263857]
["reasonablysized learned representation", 3.6375861597263857]
["regularization strength hyperparameter", 3.6375861597263857]
["representative deep generative network", 3.6375861597263857]
["robust multisource pattern recognition", 3.6375861597263857]
["robust support vector machine training", 3.6375861597263857]
["secondary protein structure prediction", 3.6375861597263857]
["semilinear predictability minimization", 3.6375861597263857]
["semisupervised representation learning", 3.6375861597263857]
["sequencelevel discriminative criterion", 3.6375861597263857]
["simple global transformation mechanism", 3.6375861597263857]
["socalled stacked denoising autoencoder", 3.6375861597263857]
["stable adaptive neural network control", 3.6375861597263857]
["standard framebased objective function", 3.6375861597263857]
["statisticalphenomenological hypothesis", 3.6375861597263857]
["stochastic diagonal levenbergmarquardt", 3.6375861597263857]
["stochastic feedforward neural networks", 3.6375861597263857]
["subsequent sigmoid function evaluation", 3.6375861597263857]
["technical report arxiv13125548v1  csne", 3.6375861597263857]
["traditional closedworld classification", 3.6375861597263857]
["twolayer convolutional neural networks", 3.6375861597263857]
["underlying datagenerative distribution", 3.6375861597263857]
["unsupervised feature learning workshop", 3.6375861597263857]
["unsupervised stochastic neural network", 3.6375861597263857]
["widelyused empirical risk minimization", 3.6375861597263857]
["abstract hierarchical representations", 3.6109179126442243]
["accelerating hessianfree optimization", 3.6109179126442243]
["acousticarticulatory speech inversion", 3.6109179126442243]
["activelearninglike algorithm template", 3.6109179126442243]
["artificial neural network development", 3.6109179126442243]
["average reward reinforcement learning", 3.6109179126442243]
["benchmark recordsetting deep learners", 3.6109179126442243]
["bimodal deep autoencoder architecture", 3.6109179126442243]
["category imagenet classification task", 3.6109179126442243]
["category independent object proposals", 3.6109179126442243]
["characterlevel languagemodeling tasks", 3.6109179126442243]
["combining stochastic average gradient", 3.6109179126442243]
["commercial speech recognition service", 3.6109179126442243]
["convolutional layers share parameters", 3.6109179126442243]
["crosslingual speechtext understanding", 3.6109179126442243]
["curious modelbuilding control systems", 3.6109179126442243]
["deep learning architecturesalgorithms", 3.6109179126442243]
["difficult machine translation problem", 3.6109179126442243]
["domaininvariant image representations", 3.6109179126442243]
["domainspecific feature representation", 3.6109179126442243]
["dropout restricted boltzmann machines", 3.6109179126442243]
["encoderdecoder reconstruction methods", 3.6109179126442243]
["exact gradient computation algorithms", 3.6109179126442243]
["exact low dimensional manifold models", 3.6109179126442243]
["explicit environmentdistortion models", 3.6109179126442243]
["fastest sparse optimization algorithm", 3.6109179126442243]
["final optimization objective function", 3.6109179126442243]
["fundamental credit assignment problem", 3.6109179126442243]
["general dynamical systems perspective", 3.6109179126442243]
["greedy unsupervised training strategy", 3.6109179126442243]
["h40  information systems applications", 3.6109179126442243]
["hierarchical bayesian language models", 3.6109179126442243]
["highdimensional output representation", 3.6109179126442243]
["highdimensional signature compression", 3.6109179126442243]
["highlevel continuousvalued attributes", 3.6109179126442243]
["imagenet object recognition challenge", 3.6109179126442243]
["index termsrobust pattern recognition", 3.6109179126442243]
["intermediate domain selection problem", 3.6109179126442243]
["intoaccount speechspecific properties", 3.6109179126442243]
["large collection image retrieval task", 3.6109179126442243]
["learned statistical models correspond", 3.6109179126442243]
["learning hierarchical models workshop", 3.6109179126442243]
["massivelyparallel chip multiprocessor", 3.6109179126442243]
["maximum mutual information estimation", 3.6109179126442243]
["meanfield variational approximation15", 3.6109179126442243]
["minibatch stochastic gradient descent", 3.6109179126442243]
["multiclass classification competition", 3.6109179126442243]
["multidistribution deep belief network", 3.6109179126442243]
["multimodal nonfactorial distributions", 3.6109179126442243]
["multitask gaussian process prediction", 3.6109179126442243]
["nighttime light intensity information", 3.6109179126442243]
["nirvis heterogeneous face recognition", 3.6109179126442243]
["nonparametric instance discrimination", 3.6109179126442243]
["nonuniform deeplearning architectures", 3.6109179126442243]
["online stochastic optimization regime", 3.6109179126442243]
["original convolutional neural network", 3.6109179126442243]
["original high dimensional input space", 3.6109179126442243]
["pascal voc semantic segmentation task", 3.6109179126442243]
["patchbase feature extraction pipeline", 3.6109179126442243]
["pixelwise uncorrelated gaussian noise", 3.6109179126442243]
["potential additional efficiency gains", 3.6109179126442243]
["previous parametric generative models", 3.6109179126442243]
["prinzipien der biologischen evolution", 3.6109179126442243]
["questionanswering inference mechanism", 3.6109179126442243]
["related linear transformation methods", 3.6109179126442243]
["remarkable classification performance", 3.6109179126442243]
["restricted boltzmann machine learning", 3.6109179126442243]
["robust compact feature representation", 3.6109179126442243]
["semisupervised recursive autoencoders", 3.6109179126442243]
["sequencelevel optimization objectives", 3.6109179126442243]
["sequential gridassisted manual search", 3.6109179126442243]
["signalinformation processing research", 3.6109179126442243]
["simple optical flow magnitude vectors", 3.6109179126442243]
["speech recognition accuracy reduction", 3.6109179126442243]
["standard jacobian matrix calculations", 3.6109179126442243]
["stateoftheart triphone gmmhmm systems", 3.6109179126442243]
["stochastic generative acoustic models", 3.6109179126442243]
["stochastic gradient langevin dynamics", 3.6109179126442243]
["subsequent discriminative fine tuning", 3.6109179126442243]
["successful phoneme recognition system", 3.6109179126442243]
["superhuman visual pattern recognition", 3.6109179126442243]
["target discriminative representations", 3.6109179126442243]
["targetdirected mixture dynamic models", 3.6109179126442243]
["task specific supervision information", 3.6109179126442243]
["text sentiment classification problem", 3.6109179126442243]
["timedelay neural network architecture", 3.6109179126442243]
["topdown category specific information", 3.6109179126442243]
["traditional feedforward architectures", 3.6109179126442243]
["twentyeighth international conference", 3.6109179126442243]
["twentyfourth international conference", 3.6109179126442243]
["twostage deep architecture consisting", 3.6109179126442243]
["undirected graphical model frameworks", 3.6109179126442243]
["unsupervised deep learning techniques", 3.6109179126442243]
["zeroshot visual object categorization", 3.6109179126442243]
["25th annual international conference", 3.58351893845611]
["additional predictive output neurons", 3.58351893845611]
["approximated secondorder information", 3.58351893845611]
["artificial neural network technology", 3.58351893845611]
["automatic learning rate maximization", 3.58351893845611]
["b chen", 3.58351893845611]
["bayesian hyperparameter optimization", 3.58351893845611]
["benchmark 1000class imagenet dataset", 3.58351893845611]
["bsdlicensed free opensource software", 3.58351893845611]
["c finn", 3.58351893845611]
["c gehl", 3.58351893845611]
["c shen", 3.58351893845611]
["categoryindependent region proposals", 3.58351893845611]
["clickthroughbased translation models", 3.58351893845611]
["connectionist reinforcement learning", 3.58351893845611]
["cornell university gh349  cornelledu", 3.58351893845611]
["current nn topologydependent set int", 3.58351893845611]
["cycleconsistent adversarial networks", 3.58351893845611]
["d lowe", 3.58351893845611]
["deng l", 3.58351893845611]
["derivative estimate local statistics", 3.58351893845611]
["deterministic regularization methods", 3.58351893845611]
["dh  dx", 3.58351893845611]
["dh lee", 3.58351893845611]
["difficult nonlinear pomdp benchmarks", 3.58351893845611]
["discriminative pretraining technique", 3.58351893845611]
["disentangling task transfer learning", 3.58351893845611]
["distinct classspecific saliency maps", 3.58351893845611]
["edbm θ", 3.58351893845611]
["effective linguistic representations", 3.58351893845611]
["endtoend machine translation results", 3.58351893845611]
["fast curvature matrixvector products", 3.58351893845611]
["feedforward neural network structure", 3.58351893845611]
["firstorder recurrent neural networks", 3.58351893845611]
["fixed point recurrent neural network", 3.58351893845611]
["fullsequence classification criteria", 3.58351893845611]
["g mann", 3.58351893845611]
["generic nonlinear mapping function 𝑮", 3.58351893845611]
["geoffrey hinton hinton  cstorontoedu", 3.58351893845611]
["googlenet classification performance", 3.58351893845611]
["gr xue", 3.58351893845611]
["gradientbased optimization procedure", 3.58351893845611]
["h sako", 3.58351893845611]
["h wang", 3.58351893845611]
["handwritten chinese text recognition", 3.58351893845611]
["hierarchical feature representations", 3.58351893845611]
["highdimensional sparse text features", 3.58351893845611]
["higher order contractive autoencoder", 3.58351893845611]
["hmmbased parametric speech synthesis", 3.58351893845611]
["hyperparameter optimization strategy", 3.58351893845611]
["improved speech recognition accuracy", 3.58351893845611]
["information processing annual summit", 3.58351893845611]
["information theoretical measurements", 3.58351893845611]
["iterative gradient descent algorithm", 3.58351893845611]
["j gall", 3.58351893845611]
["j yang", 3.58351893845611]
["j zhao", 3.58351893845611]
["joint hierarchical domain adaptation", 3.58351893845611]
["l shao", 3.58351893845611]
["large minibatch optimization methods", 3.58351893845611]
["le cun", 3.58351893845611]
["lowdimensional latent semantic space", 3.58351893845611]
["m wang", 3.58351893845611]
["mapreduce style gradient computation", 3.58351893845611]
["maximum likelihood linear regression", 3.58351893845611]
["maximumlikelihood trained parameters", 3.58351893845611]
["meanfield variational approximations", 3.58351893845611]
["minimum description length framework", 3.58351893845611]
["modular neural network architectures", 3.58351893845611]
["multicategory pattern classification", 3.58351893845611]
["multifold multiple instance learning", 3.58351893845611]
["multiple complementary segmentations", 3.58351893845611]
["multitask domain adaptation approach", 3.58351893845611]
["n wang", 3.58351893845611]
["natural probabilistic interpretation", 3.58351893845611]
["neural gas network learns topologies", 3.58351893845611]
["neurocolt technical report nctr96048", 3.58351893845611]
["neuromorphic silicon neuron circuits", 3.58351893845611]
["nonfactorial posterior distributions", 3.58351893845611]
["nonnegative matrix trifactorizations", 3.58351893845611]
["nsgs ˆ", 3.58351893845611]
["orientation sensitive edge detectors", 3.58351893845611]
["original hyperparameter search space", 3.58351893845611]
["original uncoded speech spectrograms", 3.58351893845611]
["p torr", 3.58351893845611]
["p1  p2", 3.58351893845611]
["pacific rim international conference", 3.58351893845611]
["parameter exploring policy gradients", 3.58351893845611]
["populationbased incremental learning", 3.58351893845611]
["probabilistic classification problem", 3.58351893845611]
["probabilistic latent semantic models", 3.58351893845611]
["protein structure prediction problem", 3.58351893845611]
["quantitative recognition error rates", 3.58351893845611]
["r duin", 3.58351893845611]
